trials,mode,N,curvature,loss_mm,alpha,ell_um,det_x_um,det_y_um,det_z_um,node_radius_um,kappa_sigma,win_ns,emit_photons_total_mean,emit_photons_total_sem,det_photons_total_mean,det_photons_total_sem,gate_photons_mean,gate_photons_sem,coincidence_ratio_mean,coincidence_ratio_sem,peak_sharpness_mean,peak_sharpness_sem,p2rms_mean,p2rms_sem,snr_mean,snr_sem,R_before_mean,R_before_sem,R_after_mean,R_after_sem,sync_gain_mean,sync_gain_sem,mean_phase_reset_mean,mean_phase_reset_sem
12,hypothesis,24,0.8,3.0,0.2,8.0,0.0,0.0,0.0,6.0,0.05,0.2,275198.3674377331,1793.942720482191,65172.96806616775,436.5619357313422,65169.59796468617,436.5437769643129,0.9999482847392859,3.306094156832113e-07,117.98965366775333,0.1345253921351843,13.230293582747903,0.008757233098051148,255.26757587000952,0.8561368906623684,0.18625454102569283,0.02668695314673208,0.3572189867611873,0.03235706893165693,0.17096444573549452,0.040761663693631406,3.3282605523573277,0.09841145638734787
12,antithesis,24,0.8,3.0,0.2,8.0,0.0,0.0,0.0,6.0,0.05,0.2,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,1289.2982733882716,15.370651384886207,0.10183493109609167,0.00043989239827989,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,35.899741686985564,0.21464986118668355,0.14865246344603775,0.037554837540456104,0.5133678189401012,0.043210175811179724,0.3647153554940635,0.053775768405509614,0.841017861264286,0.017961319008742656
12,hypothesis,24,0.8,3.0,0.2,12.0,0.0,0.0,0.0,6.0,0.05,0.2,325402.79141546483,1533.5015707500004,77058.59109738603,376.9699435373779,77054.60623464071,376.9559637043778,0.9999482839373308,3.287019301893929e-07,117.98849306992207,0.13359855523614958,13.230225822398813,0.00869641641624993,277.5779551685204,0.6799090246368446,0.18625454102569283,0.02668695314673208,0.35722520080032655,0.032359663230730105,0.1709706597746337,0.040763372302973666,3.328238512919618,0.09839590547672433
12,antithesis,24,0.8,3.0,0.2,12.0,0.0,0.0,0.0,6.0,0.05,0.2,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,1289.2982733882716,15.370651384886207,0.10183493109609167,0.00043989239827989,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,35.899741686985564,0.21464986118668355,0.14865246344603775,0.037554837540456104,0.5133678189401012,0.043210175811179724,0.3647153554940635,0.053775768405509614,0.841017861264286,0.017961319008742656
12,hypothesis,24,0.8,3.0,0.2,20.0,0.0,0.0,0.0,6.0,0.05,0.2,376826.17595300125,1126.1411316588544,89231.73578089742,282.4252816166526,89227.12121104512,282.41742185282817,0.9999482828724249,3.269270179094582e-07,117.98740971416284,0.1326843182088943,13.230162493484384,0.008636684820382384,298.7049672611956,0.4732618465237928,0.18625454102569283,0.02668695314673208,0.3572304452004844,0.03236233292743026,0.17097590417479158,0.04076533647359625,3.3282179943910393,0.09838162628631579
12,antithesis,24,0.8,3.0,0.2,20.0,0.0,0.0,0.0,6.0,0.05,0.2,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,1289.2982733882716,15.370651384886207,0.10183493109609167,0.00043989239827989,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,35.899741686985564,0.21464986118668355,0.14865246344603775,0.037554837540456104,0.5133678189401012,0.043210175811179724,0.3647153554940635,0.053775768405509614,0.841017861264286,0.017961319008742656
12,hypothesis,24,0.8,3.0,0.3,5.0,0.0,0.0,0.0,6.0,0.05,0.2,276054.0476006504,2783.6492663681242,65381.896348511975,671.0763893389309,65378.51560311071,671.0456196130625,0.999948285245612,3.345106446646513e-07,117.99196708442226,0.13631574392682752,13.230427805653953,0.008875326275471543,255.65512072985737,1.3133872830744648,0.18625454102569283,0.02668695314673208,0.3572046921494891,0.032352369071170464,0.17095015112379627,0.04075910668110169,3.32830454766583,0.0984433389412503
12,antithesis,24,0.8,3.0,0.3,5.0,0.0,0.0,0.0,6.0,0.05,0.2,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,1289.2982733882716,15.370651384886207,0.10183493109609167,0.00043989239827989,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,35.899741686985564,0.21464986118668355,0.14865246344603775,0.037554837540456104,0.5133678189401012,0.043210175811179724,0.3647153554940635,0.053775768405509614,0.841017861264286,0.017961319008742656
12,hypothesis,24,0.8,3.0,0.3,8.0,0.0,0.0,0.0,6.0,0.05,0.2,369982.8867835808,2702.5539456074757,87621.85741509125,655.809499600441,87617.32655896497,655.7814217635769,0.999948285134718,3.313684270929586e-07,117.99008566189967,0.13494385305105408,13.23031847553687,0.008784605928240955,295.97938004246487,1.1091826900557735,0.18625454102569283,0.02668695314673208,0.3572165576121315,0.032355949129690746,0.1709620165864386,0.040760872210368455,3.3282687963029183,0.09841761944664797
12,antithesis,24,0.8,3.0,0.3,8.0,0.0,0.0,0.0,6.0,0.05,0.2,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,1289.2982733882716,15.370651384886207,0.10183493109609167,0.00043989239827989,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,35.899741686985564,0.21464986118668355,0.14865246344603775,0.037554837540456104,0.5133678189401012,0.043210175811179724,0.3647153554940635,0.053775768405509614,0.841017861264286,0.017961319008742656
