trials,mode,N,curvature,loss_mm,alpha,ell_um,det_x_um,det_y_um,det_z_um,node_radius_um,kappa_sigma,win_ns,emit_photons_total_mean,emit_photons_total_sem,det_photons_total_mean,det_photons_total_sem,gate_photons_mean,gate_photons_sem,coincidence_ratio_mean,coincidence_ratio_sem,peak_sharpness_mean,peak_sharpness_sem,p2rms_mean,p2rms_sem,snr_mean,snr_sem,R_before_mean,R_before_sem,R_after_mean,R_after_sem,sync_gain_mean,sync_gain_sem,mean_phase_reset_mean,mean_phase_reset_sem
12,antithesis,24,0.8,3.0,0.3,8.0,0.0,0.0,0.0,6.0,0.05,0.1,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,662.9754527404268,7.979082187266944,0.052364530133963035,0.00023353863617130304,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,25.74315157485484,0.1553879989737142,0.14865246344603775,0.037554837540456104,0.19659800292642204,0.033572957518635184,0.04794553948038429,0.02456042452435674,0.16652667143840463,0.007642747639138769
12,hypothesis,24,0.8,3.0,0.3,12.0,0.0,0.0,0.0,6.0,0.05,0.1,445289.5227501783,2308.6805731188197,105450.29196191866,565.6691178467179,103900.25637534335,559.7629499286895,0.9852994302833783,3.973806310606134e-05,117.98874369361748,0.13384430851112022,13.230240300907376,0.008712457533354024,322.32272553520824,0.8695337776975774,0.18625454102569283,0.02668695314673208,0.23887134836608548,0.04498287649430002,0.05261680734039268,0.031562886830192635,0.2300833674082811,0.0062693054528583985
12,antithesis,24,0.8,3.0,0.3,12.0,0.0,0.0,0.0,6.0,0.05,0.1,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,662.9754527404268,7.979082187266944,0.052364530133963035,0.00023353863617130304,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,25.74315157485484,0.1553879989737142,0.14865246344603775,0.037554837540456104,0.19659800292642204,0.033572957518635184,0.04794553948038429,0.02456042452435674,0.16652667143840463,0.007642747639138769
12,hypothesis,24,0.8,3.0,0.3,20.0,0.0,0.0,0.0,6.0,0.05,0.1,522424.59955648286,1690.8404276443607,123710.0089871857,422.34210935294664,121891.46149432154,418.95455132408097,0.9852990560731204,3.943884534560012e-05,117.98753702302746,0.1328119676014903,13.230169854444272,0.008645005765747555,349.1238916789669,0.6007384283722234,0.18625454102569283,0.02668695314673208,0.2429598084176988,0.045188806869319274,0.056705267392005924,0.03194101941044119,0.237472969325394,0.006588251341165692
12,antithesis,24,0.8,3.0,0.3,20.0,0.0,0.0,0.0,6.0,0.05,0.1,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,662.9754527404268,7.979082187266944,0.052364530133963035,0.00023353863617130304,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,25.74315157485484,0.1553879989737142,0.14865246344603775,0.037554837540456104,0.19659800292642204,0.033572957518635184,0.04794553948038429,0.02456042452435674,0.16652667143840463,0.007642747639138769
12,hypothesis,24,0.8,3.0,0.5,5.0,0.0,0.0,0.0,6.0,0.05,0.1,403003.8601703921,4658.794729438628,95453.0343353061,1120.693397536864,94050.21035171777,1106.284540281034,0.9853006486771071,4.065266595241653e-05,117.99281746407705,0.1371396499443995,13.23047641201173,0.008929470651968228,306.61761531237545,1.805253240053369,0.18625454102569283,0.02668695314673208,0.227440606654261,0.04436861573516368,0.041186065628568115,0.0304723064951601,0.20925914940488446,0.005583928483569308
12,antithesis,24,0.8,3.0,0.5,5.0,0.0,0.0,0.0,6.0,0.05,0.1,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,662.9754527404268,7.979082187266944,0.052364530133963035,0.00023353863617130304,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,25.74315157485484,0.1553879989737142,0.14865246344603775,0.037554837540456104,0.19659800292642204,0.033572957518635184,0.04794553948038429,0.02456042452435674,0.16652667143840463,0.007642747639138769
12,hypothesis,24,0.8,3.0,0.5,8.0,0.0,0.0,0.0,6.0,0.05,0.1,559551.9254752761,4520.820419149197,132519.63611293826,1094.550841289586,130571.86946793298,1081.442230936015,0.9852999705191164,4.016975688398212e-05,117.99050870404693,0.13536183994124662,13.230342791301341,0.008811954331573345,361.3131212691128,1.4984193703055484,0.18625454102569283,0.02668695314673208,0.23352496302629236,0.04471606620254902,0.04727042200059956,0.031064514268635365,0.2203758427081791,0.005954778193961066
12,antithesis,24,0.8,3.0,0.5,8.0,0.0,0.0,0.0,6.0,0.05,0.1,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,662.9754527404268,7.979082187266944,0.052364530133963035,0.00023353863617130304,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,25.74315157485484,0.1553879989737142,0.14865246344603775,0.037554837540456104,0.19659800292642204,0.033572957518635184,0.04794553948038429,0.02456042452435674,0.16652667143840463,0.007642747639138769
12,hypothesis,24,0.8,3.0,0.5,12.0,0.0,0.0,0.0,6.0,0.05,0.1,685062.985419605,3860.2946967137873,162233.69369098393,943.3550374905967,159849.01815009242,933.1935012742982,0.985299505128684,3.980672443484946e-05,117.98898099634941,0.13407991864274368,13.230253988987842,0.00872783843378042,399.79243698484646,1.1687397955988175,0.18625454102569283,0.02668695314673208,0.23816598907698672,0.044960535907580236,0.05191144805129386,0.03150397345994542,0.22881683741404993,0.006281850286039207
